#m4pitch(deg)	#theta(rad)	#qz(nm-1)	#pos_y(pix)	#bckg_R_up	#bckg_R_down	#bckg_R_left	#bckg_R_right	#bckg_R	#err_R	#R
-5.9776612e-02	8.6486693e-04	7.0117658e-02	2.1300000e+02	8.8712191e-03	8.1483030e-03	4.6159159e-05	7.7203137e-05	8.5097610e-03	3.3388988e-04	9.2577345e-01
-6.8358721e-02	1.1644390e-03	9.4404962e-02	2.1200000e+02	3.1620260e-02	6.6974993e-03	4.2263683e-05	6.8846420e-05	1.9158880e-02	2.7013111e-04	6.9291264e-01
-7.6380938e-02	1.4444672e-03	1.1710777e-01	2.1200000e+02	4.9522141e-02	7.4541347e-03	4.4178980e-05	6.7910907e-05	2.8488138e-02	2.7985355e-04	7.7972062e-01
-8.4621565e-02	1.7321194e-03	1.4042867e-01	2.1200000e+02	6.2686564e-02	5.6861714e-03	4.4168523e-05	6.5301337e-05	3.4186368e-02	2.7557960e-04	7.5010264e-01
-9.2896860e-02	2.0209817e-03	1.6384766e-01	2.1200000e+02	6.6000145e-02	4.4457758e-03	4.3627806e-05	6.3280474e-05	3.5222960e-02	2.6920950e-04	7.1983028e-01
-1.0094855e-01	2.3020385e-03	1.8663383e-01	2.1200000e+02	7.3316405e-02	5.6416700e-03	4.6941560e-05	6.7011089e-05	3.9479038e-02	2.8784226e-04	8.3322657e-01
-1.0904183e-01	2.5845475e-03	2.0953771e-01	2.1200000e+02	1.4319364e-02	6.8370116e-03	4.7940786e-05	6.2803961e-05	1.0578188e-02	2.7508587e-04	9.0809211e-01
-1.1732926e-01	2.8738334e-03	2.3299100e-01	2.1100000e+02	3.6766248e-03	3.9889280e-03	8.6552347e-06	1.0600363e-05	3.8327764e-03	3.0083377e-05	1.4728238e-01
-1.2559762e-01	3.1624536e-03	2.5639031e-01	2.1100000e+02	1.5228933e-03	1.5545668e-03	4.8192927e-06	5.7413781e-06	1.5387300e-03	2.1022273e-05	7.4538132e-02
-1.3373945e-01	3.4466568e-03	2.7943149e-01	2.1100000e+02	4.7089858e-04	9.1197707e-04	3.3080452e-06	3.6547717e-06	6.9143783e-04	1.5979302e-05	4.4984491e-02
-1.4201647e-01	3.7355796e-03	3.0285528e-01	2.1100000e+02	3.3630241e-04	5.1677891e-04	2.4474956e-06	2.7291519e-06	4.2654066e-04	1.2795192e-05	2.8896884e-02
-1.5008029e-01	4.0170600e-03	3.2567567e-01	2.1100000e+02	1.8264284e-04	4.0443154e-04	1.8853909e-06	2.0606914e-06	2.9353719e-04	1.0599658e-05	1.9877029e-02
-1.5009416e-01	4.0175441e-03	3.2571492e-01	2.1100000e+02	1.8192545e-04	4.0687435e-04	1.8611232e-06	2.0649653e-06	2.9439990e-04	1.0615982e-05	1.9918425e-02
-1.7349518e-01	4.8343939e-03	3.9193902e-01	2.1100000e+02	7.8221897e-05	1.5650964e-04	1.0146824e-06	1.0294127e-06	1.1736577e-04	1.6514365e-06	7.4314137e-03
-1.9704528e-01	5.6564473e-03	4.5858474e-01	2.1100000e+02	5.6145204e-05	6.6975042e-05	6.5578710e-07	6.5231739e-07	6.1560123e-05	1.2005736e-06	3.8780382e-03
-2.2023136e-01	6.4657942e-03	5.2420000e-01	2.1100000e+02	3.9218417e-05	5.6965730e-05	4.3331539e-07	4.3543427e-07	4.8092073e-05	4.5488348e-07	2.0233495e-03
-2.4370172e-01	7.2850642e-03	5.9061940e-01	2.1000000e+02	1.4698695e-05	5.7527808e-05	2.9222167e-07	2.9716686e-07	3.6113251e-05	2.6857292e-07	1.1800056e-03
-2.6656365e-01	8.0830962e-03	6.5531663e-01	2.1100000e+02	1.6140334e-05	3.9168001e-05	2.1841630e-07	2.1741861e-07	2.7654167e-05	1.9136229e-07	7.8712454e-04
-2.9045349e-01	8.9170091e-03	7.2292230e-01	2.1000000e+02	8.3350276e-06	3.9233259e-05	1.5890354e-07	1.6005734e-07	2.3784143e-05	1.3444521e-07	5.1065903e-04
-3.1333623e-01	9.7157672e-03	7.8767749e-01	2.1200000e+02	2.0128873e-05	1.3901977e-05	1.2523398e-07	1.2504891e-07	1.7015425e-05	1.0667588e-07	3.6000650e-04
-3.3693313e-01	1.0539454e-02	8.5445314e-01	2.1200000e+02	1.7949221e-05	8.8249439e-06	9.5839896e-08	9.5267424e-08	1.3387082e-05	9.0903836e-08	2.5242075e-04
-3.6003600e-01	1.1345897e-02	9.1983023e-01	2.1200000e+02	5.8628496e-06	4.2037615e-06	7.5572855e-08	7.5367019e-08	5.0333055e-06	7.5774266e-08	1.9655061e-04
-3.8382011e-01	1.2176119e-02	9.8713445e-01	2.1100000e+02	3.3970242e-06	4.8359360e-06	5.9095558e-08	5.8747509e-08	4.1164801e-06	6.5238885e-08	1.4003464e-04
-4.0669244e-01	1.2974514e-02	1.0518579e+00	2.1200000e+02	2.8984259e-06	2.7483846e-06	4.9560212e-08	4.9686110e-08	2.8234052e-06	5.6403437e-08	1.0331139e-04
-4.3033441e-01	1.3799774e-02	1.1187585e+00	2.1200000e+02	2.8253221e-06	1.7072676e-06	4.0725206e-08	4.0535677e-08	2.2662949e-06	4.8952495e-08	7.4990446e-05
-4.5345982e-01	1.4607003e-02	1.1841967e+00	2.1200000e+02	1.7883416e-06	1.5055773e-06	2.5634568e-08	2.5580460e-08	1.6469595e-06	4.2570530e-08	5.5044486e-05
-4.7702725e-01	1.5429662e-02	1.2508849e+00	2.1200000e+02	1.5300031e-06	9.6162004e-07	2.2832246e-08	2.2441819e-08	1.2458116e-06	3.7278782e-08	4.0475985e-05
-4.9996545e-01	1.6230356e-02	1.3157917e+00	2.1200000e+02	8.9872042e-07	9.5460819e-07	2.0824578e-08	2.0284310e-08	9.2666430e-07	3.2820492e-08	2.9876250e-05
-4.9998452e-01	1.6231022e-02	1.3158457e+00	2.1200000e+02	9.0675854e-07	9.4555669e-07	2.0705911e-08	2.0438625e-08	9.2615761e-07	3.2863762e-08	2.9922280e-05
-5.3693387e-01	1.7520797e-02	1.4203972e+00	2.1100000e+02	6.1099201e-07	7.5869354e-07	1.8394462e-08	1.7794203e-08	6.8484278e-07	2.7862518e-08	1.8603893e-05
-5.7307718e-01	1.8782437e-02	1.5226657e+00	2.1100000e+02	3.7397894e-07	5.7256343e-07	1.6561046e-08	1.6264917e-08	4.7327119e-07	2.5213886e-08	1.1956165e-05
-6.0934530e-01	2.0048433e-02	1.6252849e+00	2.1200000e+02	3.3674061e-07	2.9581473e-07	1.5296611e-08	1.4937224e-08	3.1627767e-07	2.7604767e-08	8.0320920e-06
-6.4548861e-01	2.1310073e-02	1.7275484e+00	2.1200000e+02	2.3388361e-07	2.6908016e-07	1.4550598e-08	1.4022301e-08	2.5148188e-07	3.4608965e-08	5.7757551e-06
-6.8210341e-01	2.2588170e-02	1.8311431e+00	2.1200000e+02	2.2330108e-07	1.9537162e-07	1.4156946e-08	1.3580288e-08	2.0933635e-07	4.2629208e-08	4.4773336e-06
-7.1830219e-01	2.3851746e-02	1.9335578e+00	2.1200000e+02	1.8885647e-07	1.9911026e-07	1.3005210e-08	1.3261348e-08	1.9398336e-07	5.1697921e-08	3.7451906e-06
-7.5477485e-01	2.5124882e-02	2.0367443e+00	2.1200000e+02	1.8472947e-07	1.8607084e-07	1.2573636e-08	1.2519439e-08	1.8540016e-07	6.2667529e-08	3.2930664e-06
-7.9121978e-01	2.6397050e-02	2.1398490e+00	2.1200000e+02	1.8936571e-07	1.7604807e-07	1.2647442e-08	1.2301529e-08	1.8270689e-07	7.6259704e-08	3.0004705e-06
-8.2762137e-01	2.7667705e-02	2.2428276e+00	2.1200000e+02	1.8957606e-07	1.7221209e-07	1.2483467e-08	1.0856633e-08	1.8089408e-07	9.0973671e-08	2.7218109e-06
-8.6386869e-01	2.8932975e-02	2.3453662e+00	2.1200000e+02	1.8488000e-07	1.8670668e-07	1.1681185e-08	1.0719771e-08	1.8579334e-07	1.0544149e-07	2.4373298e-06
-9.0024774e-01	3.0202844e-02	2.4482737e+00	2.1200000e+02	1.6768459e-07	1.7832081e-07	1.1555398e-08	1.1227120e-08	1.7300270e-07	1.1720642e-07	2.1818693e-06
-9.0026681e-01	3.0203510e-02	2.4483277e+00	2.1200000e+02	1.8407936e-07	1.8042281e-07	1.1694376e-08	1.0047281e-08	1.8225108e-07	1.1808039e-07	2.1729962e-06
-9.5611032e-01	3.2152816e-02	2.6062876e+00	2.1200000e+02	1.6371529e-07	1.5838340e-07	1.1188231e-08	1.1625271e-08	1.6104934e-07	1.7616228e-07	1.7857029e-06
-1.0118585e+00	3.4098794e-02	2.7639681e+00	2.1200000e+02	1.4871048e-07	1.4828037e-07	1.1290384e-08	1.0000054e-08	1.4849543e-07	1.7653844e-07	1.3838785e-06
-1.0671508e+00	3.6028859e-02	2.9203487e+00	2.1300000e+02	1.4512807e-07	9.7343541e-08	9.1259569e-09	8.4922099e-09	1.2123580e-07	1.6677304e-07	1.0149458e-06
-1.1227360e+00	3.7969149e-02	3.0775469e+00	2.1300000e+02	1.1132705e-07	7.8029837e-08	1.1099072e-08	1.3453420e-08	9.4678444e-08	2.3334276e-07	7.2732553e-07
-1.1784044e+00	3.9912344e-02	3.2349688e+00	2.1300000e+02	9.5619015e-08	5.6052526e-08	8.2430185e-09	4.9458111e-09	7.5835771e-08	4.3834174e-07	4.9622972e-07
-1.2340035e+00	4.1853119e-02	3.3921824e+00	2.1300000e+02	6.8257066e-08	4.4408211e-08	1.2335614e-08	1.1513240e-08	5.6332638e-08	2.5353981e-07	3.1209104e-07
-1.2895125e+00	4.3790747e-02	3.5491284e+00	2.1300000e+02	3.5630475e-08	3.1388752e-08	5.9384125e-09	1.0180136e-08	3.3509613e-08	1.9344419e-07	1.6924476e-07
-1.3451255e+00	4.5732006e-02	3.7063551e+00	2.1000000e+02	3.2918916e-08	9.8756747e-08	0.0000000e+00	0.0000000e+00	6.5837832e-08	9.0603531e-07	1.1521621e-07
