#qz(A-1) #R #err_R
7.011765799999999937e-03 9.257734499999999978e-01 3.338898799999999814e-04
9.440496200000000546e-03 6.929126399999999686e-01 2.701311100000000002e-04
1.171077700000000034e-02 7.797206199999999754e-01 2.798535500000000169e-04
1.404286700000000054e-02 7.501026400000000427e-01 2.755796000000000135e-04
1.638476600000000200e-02 7.198302800000000445e-01 2.692095000000000252e-04
1.866338300000000214e-02 8.332265699999999997e-01 2.878422600000000043e-04
2.095377099999999951e-02 9.080921100000000079e-01 2.750858699999999928e-04
2.329910000000000314e-02 1.472823799999999905e-01 3.008337700000000110e-05
2.563903100000000310e-02 7.453813200000000694e-02 2.102227299999999977e-05
2.794314900000000046e-02 4.498449100000000145e-02 1.597930200000000011e-05
3.028552800000000253e-02 2.889688400000000115e-02 1.279519200000000053e-05
3.256756699999999866e-02 1.987702900000000092e-02 1.059965799999999961e-05
3.257149200000000050e-02 1.991842500000000002e-02 1.061598200000000044e-05
3.919390200000000268e-02 7.431413700000000233e-03 1.651436500000000032e-06
4.585847400000000323e-02 3.878038199999999953e-03 1.200573599999999940e-06
5.242000000000000132e-02 2.023349499999999978e-03 4.548834799999999786e-07
5.906194000000000721e-02 1.180005600000000017e-03 2.685729199999999800e-07
6.553166300000000388e-02 7.871245399999999507e-04 1.913622900000000096e-07
7.229222999999999899e-02 5.106590299999999930e-04 1.344452100000000046e-07
7.876774899999999802e-02 3.600065000000000166e-04 1.066758799999999966e-07
8.544531400000000831e-02 2.524207499999999837e-04 9.090383600000000521e-08
9.198302299999999709e-02 1.965506100000000091e-04 7.577426599999999952e-08
9.871344500000001077e-02 1.400346399999999986e-04 6.523888499999999913e-08
1.051857900000000012e-01 1.033113900000000009e-04 5.640343700000000254e-08
1.118758499999999989e-01 7.499044600000000541e-05 4.895249500000000281e-08
1.184196700000000047e-01 5.504448599999999962e-05 4.257053000000000023e-08
1.250884899999999966e-01 4.047598500000000241e-05 3.727878200000000247e-08
1.315791699999999953e-01 2.987625000000000046e-05 3.282049199999999676e-08
1.315845699999999840e-01 2.992227999999999839e-05 3.286376199999999924e-08
1.420397200000000082e-01 1.860389300000000074e-05 2.786251800000000129e-08
1.522665699999999900e-01 1.195616500000000007e-05 2.521388600000000005e-08
1.625284900000000254e-01 8.032092000000000346e-06 2.760476699999999987e-08
1.727548400000000206e-01 5.775755100000000005e-06 3.460896500000000116e-08
1.831143100000000024e-01 4.477333600000000225e-06 4.262920799999999758e-08
1.933557800000000049e-01 3.745190599999999941e-06 5.169792100000000205e-08
2.036744300000000174e-01 3.293066399999999951e-06 6.266752900000000113e-08
2.139849000000000057e-01 3.000470500000000040e-06 7.625970399999999427e-08
2.242827600000000254e-01 2.721810900000000080e-06 9.097367100000000221e-08
2.345366200000000012e-01 2.437329800000000043e-06 1.054414900000000017e-07
2.448273700000000164e-01 2.181869299999999832e-06 1.172064199999999990e-07
2.448327700000000329e-01 2.172996199999999969e-06 1.180803899999999945e-07
2.606287600000000149e-01 1.785702900000000047e-06 1.761622799999999961e-07
2.763968099999999928e-01 1.383878499999999934e-06 1.765384399999999970e-07
2.920348700000000020e-01 1.014945799999999924e-06 1.667730399999999934e-07
3.077546900000000529e-01 7.273255299999999733e-07 2.333427600000000033e-07
3.234968799999999867e-01 4.962297200000000337e-07 4.383417400000000050e-07
3.392182400000000042e-01 3.120910399999999981e-07 2.535398099999999783e-07
3.549128400000000072e-01 1.692447600000000073e-07 1.934441899999999960e-07
3.706355100000000569e-01 1.152162099999999983e-07 9.060353099999999596e-07
3.863509000000000526e-01 0.000000000000000000e+00 0.000000000000000000e+00
