#m4pitch(deg)	#theta(rad)	#qz(nm-1)	#pos_y(pix)	#bckg_R_up	#bckg_R_down	#bckg_R_left	#bckg_R_right	#bckg_R	#err_R	#R
-5.9299925e-02	8.4822740e-04	6.8768636e-02	2.1300000e+02	4.8435618e-03	2.7002032e-02	4.4249756e-05	7.7223799e-05	1.5922797e-02	2.6719689e-04	3.5322764e-01
-6.8329253e-02	1.1634104e-03	9.4321568e-02	2.1200000e+02	3.6922005e-02	1.4105843e-03	4.0859619e-05	6.9311889e-05	1.9166295e-02	3.0311316e-04	7.0043771e-01
-7.6422540e-02	1.4459194e-03	1.1722550e-01	2.1200000e+02	5.7398837e-02	1.5822435e-03	4.2008626e-05	7.0226172e-05	2.9490540e-02	3.0708986e-04	7.5586966e-01
-8.4677034e-02	1.7340556e-03	1.4058564e-01	2.1200000e+02	6.1219964e-02	1.3852199e-03	4.3024385e-05	6.9360331e-05	3.1302592e-02	2.9995820e-04	7.2944840e-01
-9.2954063e-02	2.0229784e-03	1.6400954e-01	2.1100000e+02	4.9358160e-02	5.6324441e-03	3.8222556e-05	5.7255252e-05	2.7495302e-02	2.9817385e-04	7.2169924e-01
-1.0100748e-01	2.3040958e-03	1.8680062e-01	2.1100000e+02	7.8081684e-02	6.9306068e-03	4.1964394e-05	5.9946911e-05	4.2506145e-02	3.1962679e-04	7.8770580e-01
-1.0910423e-01	2.5867258e-03	2.0971431e-01	2.1100000e+02	1.8712255e-02	8.4222427e-03	4.0621063e-05	5.4559815e-05	1.3567249e-02	3.0301017e-04	8.3794265e-01
-1.1730326e-01	2.8729257e-03	2.3291742e-01	2.1100000e+02	6.0966140e-03	1.9832096e-03	8.7840395e-06	1.1463343e-05	4.0399118e-03	3.3459349e-05	1.4379808e-01
-1.2550229e-01	3.1591257e-03	2.5612051e-01	2.1100000e+02	2.7449765e-03	8.7584018e-04	4.9617521e-06	5.8875018e-06	1.8104083e-03	2.3492479e-05	7.2145914e-02
-1.3379665e-01	3.4486536e-03	2.7959337e-01	2.1000000e+02	8.7373604e-04	1.1465820e-03	2.9086094e-06	3.2947215e-06	1.0101590e-03	1.7802561e-05	4.1345322e-02
-1.4197661e-01	3.7341880e-03	3.0274246e-01	2.1000000e+02	3.4712190e-04	7.0001435e-04	2.2072294e-06	2.5242305e-06	5.2356812e-04	1.4138397e-05	2.6975538e-02
-1.5006122e-01	4.0163944e-03	3.2562171e-01	2.1000000e+02	1.5199368e-04	5.3147942e-04	1.7479606e-06	1.9641504e-06	3.4173655e-04	1.1643230e-05	1.8539835e-02
-1.5006989e-01	4.0166970e-03	3.2564624e-01	2.1000000e+02	1.4952287e-04	5.3652610e-04	1.7531687e-06	1.8807137e-06	3.4302449e-04	1.1636180e-05	1.8557187e-02
-1.7347611e-01	4.8337283e-03	3.9188506e-01	2.1000000e+02	5.5787419e-05	1.9080652e-04	9.6234866e-07	9.8231447e-07	1.2329697e-04	1.8201846e-06	7.0900226e-03
-1.9698114e-01	5.6542085e-03	4.5840323e-01	2.1000000e+02	2.9599215e-05	8.1444057e-05	6.1251861e-07	6.2594669e-07	5.5521636e-05	6.2646829e-07	3.2351978e-03
-2.2016376e-01	6.4634344e-03	5.2400869e-01	2.1000000e+02	1.7053375e-05	5.1614398e-05	4.1766213e-07	4.2080114e-07	3.4333886e-05	3.6212290e-07	1.8334888e-03
-2.4373812e-01	7.2863349e-03	5.9072242e-01	2.1000000e+02	1.5120089e-05	2.4512633e-05	2.9271329e-07	2.9624736e-07	1.9816361e-05	2.8534361e-07	1.1301443e-03
-2.6662085e-01	8.0850930e-03	6.5547850e-01	2.1100000e+02	1.3765684e-05	1.3614817e-05	2.2083577e-07	2.2512715e-07	1.3690251e-05	1.7766199e-07	7.3087866e-04
-2.9049336e-01	8.9184008e-03	7.2303512e-01	2.1000000e+02	7.5990324e-06	1.2773065e-05	1.6358702e-07	1.6439300e-07	1.0186049e-05	1.2927728e-07	4.9038775e-04
-3.1337436e-01	9.7170984e-03	7.8778540e-01	2.1100000e+02	5.6092965e-06	9.3663437e-06	1.3057180e-07	1.3071636e-07	7.4878201e-06	1.1032659e-07	3.4948820e-04
-3.3698339e-01	1.0541209e-02	8.5459540e-01	2.1100000e+02	5.6681652e-06	5.0151240e-06	1.0196561e-07	1.0178545e-07	5.3416446e-06	9.3860012e-08	2.4903383e-04
-3.6007067e-01	1.1347107e-02	9.1992833e-01	2.1100000e+02	3.2644670e-06	5.0817269e-06	8.2114735e-08	8.2927885e-08	4.1730970e-06	8.1608472e-08	1.8394650e-04
-3.8371610e-01	1.2172488e-02	9.8684014e-01	2.1100000e+02	2.9572485e-06	3.2457089e-06	6.7719593e-08	6.8086171e-08	3.1014787e-06	7.1244270e-08	1.3713638e-04
-4.0674791e-01	1.2976450e-02	1.0520149e+00	2.1200000e+02	3.0995708e-06	1.7323678e-06	5.8706022e-08	5.8451547e-08	2.4159693e-06	6.2966380e-08	1.0497178e-04
-4.3038814e-01	1.3801650e-02	1.1189106e+00	2.1100000e+02	1.7424544e-06	2.1866607e-06	4.8958269e-08	4.8652484e-08	1.9645576e-06	5.6215842e-08	8.0574656e-05
-4.5349795e-01	1.4608334e-02	1.1843046e+00	2.1200000e+02	2.0411603e-06	1.0942834e-06	3.4824056e-08	3.5340366e-08	1.5677219e-06	5.0462505e-08	6.3088324e-05
-4.7706712e-01	1.5431053e-02	1.2509977e+00	2.1100000e+02	1.1681746e-06	1.3995867e-06	3.2424026e-08	3.1833359e-08	1.2838807e-06	4.5764238e-08	4.9619439e-05
-5.0001919e-01	1.6232232e-02	1.3159438e+00	2.1200000e+02	1.2923027e-06	8.1822224e-07	3.0558818e-08	2.9894050e-08	1.0552625e-06	4.2047754e-08	3.9747758e-05
