# Dataset "water" exported from GenX3 on Wed Jul  6 12:40:13 2022
# Column lables:
# x                I_simulated        I                  error(I)
6.876863600000e-03 4.274712448336e-01 3.532276400000e-01 2.671968900000e-04
9.432156800000e-03 5.544293739194e-01 7.004377100000e-01 3.031131600000e-04
1.172255000000e-02 6.478668375376e-01 7.558696600000e-01 3.070898600000e-04
1.405856400000e-02 7.229747980402e-01 7.294484000000e-01 2.999582000000e-04
1.640095400000e-02 7.790263292015e-01 7.216992400000e-01 2.981738500000e-04
1.868006200000e-02 8.167497391305e-01 7.877058000000e-01 3.196267900000e-04
2.097143100000e-02 8.349248657656e-01 8.379426500000e-01 3.030101700000e-04
2.329174200000e-02 2.010913927618e-01 1.437980800000e-01 3.345934900000e-05
2.561205100000e-02 8.594360223500e-02 7.214591400000e-02 2.349247900000e-05
2.795933700000e-02 4.709865957701e-02 4.134532200000e-02 1.780256100000e-05
3.027424600000e-02 2.919185541751e-02 2.697553800000e-02 1.413839700000e-05
3.256217100000e-02 1.948363186529e-02 1.853983500000e-02 1.164323000000e-05
3.256462400000e-02 1.947573682653e-02 1.855718700000e-02 1.163618000000e-05
3.918850600000e-02 7.606492675819e-03 7.090022600000e-03 1.820184600000e-06
4.584032300000e-02 3.640115641138e-03 3.235197800000e-03 6.264682900000e-07
5.240086900000e-02 1.990883204527e-03 1.833488800000e-03 3.621229000000e-07
5.907224200000e-02 1.174465554338e-03 1.130144300000e-03 2.853436100000e-07
6.554785000000e-02 7.477919203243e-04 7.308786600000e-04 1.776619900000e-07
7.230351200000e-02 4.903877500000e-04 4.903877500000e-04 1.292772800000e-07
7.877854000000e-02 3.397446575238e-04 3.494882000000e-04 1.103265900000e-07
8.545954000000e-02 2.400276421674e-04 2.490338300000e-04 9.386001200000e-08
9.199283300000e-02 1.753044503288e-04 1.839465000000e-04 8.160847200000e-08
9.868401400000e-02 1.299011709822e-04 1.371363800000e-04 7.124427000000e-08
1.052014900000e-01 9.880835837896e-05 1.049717800000e-04 6.296638000000e-08
1.118910600000e-01 7.584271599383e-05 8.057465600000e-05 5.621584200000e-08
1.184304600000e-01 5.938300074895e-05 6.308832400000e-05 5.046250500000e-08
1.250997700000e-01 4.685046080289e-05 4.961943900000e-05 4.576423800000e-08
1.315943800000e-01 3.759395361941e-05 3.974775800000e-05 4.204775400000e-08
1.315987900000e-01 3.758845992641e-05 3.967529800000e-05 4.196755300000e-08
1.420078400000e-01 2.692821335630e-05 2.823687100000e-05 3.777497200000e-08
1.522798100000e-01 1.976848513267e-05 2.057838900000e-05 3.641635900000e-08
1.625490900000e-01 1.476178902994e-05 1.514387900000e-05 4.213528100000e-08
1.727675900000e-01 1.120006169024e-05 1.149501900000e-05 5.407251000000e-08
1.831192100000e-01 8.575940105764e-06 8.742416100000e-06 6.610493000000e-08
1.933420500000e-01 6.661307856630e-06 6.774411400000e-06 7.680004900000e-08
2.036553000000e-01 5.212905257524e-06 5.240022400000e-06 8.726957400000e-08
2.139883300000e-01 4.112747108642e-06 4.112428300000e-06 9.872971400000e-08
2.242935500000e-01 3.271534698925e-06 3.235292800000e-06 1.095681000000e-07
2.345076900000e-01 2.624966804483e-06 2.580886300000e-06 1.182739300000e-07
2.448411000000e-01 2.113331137446e-06 2.077198100000e-06 1.256162300000e-07
2.448455200000e-01 2.113137672949e-06 2.088287600000e-06 1.260381500000e-07
2.606130700000e-01 1.533341095375e-06 1.510768500000e-06 1.761582600000e-07
2.763585600000e-01 1.124794280781e-06 1.106937300000e-06 1.712800800000e-07
2.920525200000e-01 8.331747400000e-07 8.331747400000e-07 1.638840200000e-07
3.077684100000e-01 6.214503371032e-07 6.022367900000e-07 2.350749900000e-07
3.235179500000e-01 4.661162877663e-07 3.912604500000e-07 4.282432400000e-07
3.392015700000e-01 3.518400042783e-07 3.543012400000e-07 2.954676100000e-07
3.549290100000e-01 2.665157231650e-07 2.720014100000e-07 3.405118900000e-07
3.706531500000e-01 2.026133277315e-07 1.220056300000e-07 1.039778300000e-06
3.863371800000e-01 1.545850767695e-07 6.565906900000e-07 4.869406900000e-06
