#qz(A-1) #R #err_R
6.876863599999999757e-03 3.532276400000000094e-01 2.671968900000000024e-04
9.432156800000000840e-03 7.004377099999999912e-01 3.031131599999999939e-04
1.172254999999999998e-02 7.558696599999999988e-01 3.070898600000000062e-04
1.405856400000000256e-02 7.294483999999999968e-01 2.999581999999999769e-04
1.640095400000000231e-02 7.216992399999999641e-01 2.981738500000000115e-04
1.868006200000000075e-02 7.877058000000000115e-01 3.196267899999999797e-04
2.097143099999999871e-02 8.379426500000000111e-01 3.030101700000000127e-04
2.329174200000000070e-02 1.437980799999999948e-01 3.345934900000000070e-05
2.561205100000000373e-02 7.214591400000000543e-02 2.349247899999999832e-05
2.795933700000000077e-02 4.134532199999999685e-02 1.780256100000000128e-05
3.027424600000000118e-02 2.697553800000000029e-02 1.413839700000000015e-05
3.256217100000000086e-02 1.853983500000000104e-02 1.164322999999999931e-05
3.256462400000000035e-02 1.855718699999999929e-02 1.163618000000000080e-05
3.918850600000000489e-02 7.090022599999999849e-03 1.820184599999999995e-06
4.584032300000000226e-02 3.235197799999999825e-03 6.264682900000000148e-07
5.240086900000000963e-02 1.833488799999999927e-03 3.621229000000000007e-07
5.907224199999999703e-02 1.130144299999999912e-03 2.853436100000000054e-07
6.554785000000000472e-02 7.308786599999999830e-04 1.776619900000000097e-07
7.230351200000000034e-02 4.903877500000000450e-04 1.292772800000000100e-07
7.877854000000000800e-02 3.494882000000000262e-04 1.103265900000000009e-07
8.545954000000000050e-02 2.490338300000000029e-04 9.386001199999999858e-08
9.199283299999999608e-02 1.839464999999999980e-04 8.160847200000000348e-08
9.868401400000000045e-02 1.371363799999999957e-04 7.124426999999999928e-08
1.052014900000000086e-01 1.049717799999999953e-04 6.296637999999999820e-08
1.118910600000000005e-01 8.057465599999999917e-05 5.621584200000000118e-08
1.184304600000000013e-01 6.308832399999999598e-05 5.046250499999999768e-08
1.250997700000000268e-01 4.961943900000000135e-05 4.576423800000000179e-08
1.315943800000000108e-01 3.974775799999999756e-05 4.204775400000000137e-08
1.315987900000000210e-01 3.967529799999999725e-05 4.196755300000000210e-08
1.420078399999999963e-01 2.823687100000000133e-05 3.777497199999999680e-08
1.522798100000000154e-01 2.057838899999999926e-05 3.641635899999999861e-08
1.625490900000000072e-01 1.514387900000000002e-05 4.213528100000000001e-08
1.727675899999999987e-01 1.149501899999999952e-05 5.407250999999999984e-08
1.831192100000000045e-01 8.742416099999999890e-06 6.610493000000000615e-08
1.933420500000000153e-01 6.774411399999999735e-06 7.680004900000000518e-08
2.036553000000000113e-01 5.240022399999999746e-06 8.726957400000000311e-08
2.139883300000000321e-01 4.112428300000000384e-06 9.872971400000000609e-08
2.242935500000000359e-01 3.235292799999999894e-06 1.095680999999999976e-07
2.345076900000000186e-01 2.580886299999999996e-06 1.182739300000000017e-07
2.448411000000000337e-01 2.077198100000000088e-06 1.256162299999999919e-07
2.448455200000000387e-01 2.088287599999999891e-06 1.260381499999999949e-07
2.606130700000000022e-01 1.510768500000000086e-06 1.761582599999999984e-07
2.763585599999999753e-01 1.106937299999999931e-06 1.712800800000000081e-07
2.920525200000000376e-01 8.331747399999999778e-07 1.638840200000000067e-07
3.077684099999999923e-01 6.022367899999999742e-07 2.350749899999999958e-07
3.235179500000000541e-01 3.912604500000000153e-07 4.282432399999999759e-07
3.392015700000000078e-01 3.543012399999999878e-07 2.954676099999999973e-07
3.549290099999999892e-01 2.720014099999999800e-07 3.405118899999999968e-07
3.706531500000000423e-01 1.220056299999999953e-07 1.039778300000000038e-06
3.863371800000000023e-01 6.565906899999999935e-07 4.869406900000000380e-06
