# #x	#y	#y_fit	#error
1.793840902180771912e-01 8.732698599999999534e-01 9.955653798768119289e-01 1.464501900000000087e-03
2.367252594476897953e-01 9.347000100000000256e-01 9.927467546031669698e-01 1.168045500000000105e-03
2.921458168522443888e-01 9.835454999999999615e-01 9.846229402262667296e-01 1.039491499999999980e-03
3.482805432301176451e-01 1.352403299999999919e-01 1.687116768339962380e-01 9.462958899999999595e-05
4.052126320531627690e-01 3.990462699999999807e-02 5.322598808123969044e-02 5.176677299999999992e-05
4.603905074540116105e-01 2.250736500000000140e-02 2.498922382476669035e-02 3.514664299999999749e-05
6.626585434687698450e-01 3.736032099999999842e-03 4.108017409623955681e-03 3.717028600000000142e-06
8.625483462674990998e-01 1.209675099999999934e-03 1.266326508947071897e-03 2.135476500000000018e-06
1.062167735905238386e+00 4.917272600000000080e-04 5.148527525977584151e-04 1.395959399999999955e-06
1.261509825429290022e+00 2.515546700000000037e-04 2.466226533057285235e-04 2.586363799999999894e-07
1.461898834895760668e+00 1.340806899999999978e-04 1.312671260258462685e-04 1.948551199999999921e-07
1.661955070474819607e+00 7.558979799999999364e-05 7.562506703652437079e-05 1.524298899999999938e-07
1.861934988075566899e+00 4.620237700000000042e-05 4.620237761547304567e-05 6.472545600000000529e-08
2.090918258448954514e+00 2.865886299999999978e-05 2.777028693550910877e-05 5.719621699999999781e-08
2.318313862772034550e+00 1.788418499999999960e-05 1.753296553377052799e-05 4.300950300000000303e-08
2.547068408393605932e+00 1.187396300000000062e-05 1.145016373964191031e-05 4.891063499999999981e-08
2.775774367194150383e+00 8.534119000000000478e-06 7.705687396406830976e-06 6.519897200000000467e-08
3.004265466821520292e+00 5.768282899999999700e-06 5.319116839886143233e-06 7.865036100000000540e-08
3.233110081408486547e+00 3.978143899999999661e-06 3.749420588928278424e-06 9.924000600000000249e-08
3.461386207271123894e+00 3.081896699999999976e-06 2.695812854042431189e-06 1.085296899999999936e-07
3.863835200317784935e+00 1.761376800000000105e-06 1.570426730258791023e-06 1.683737900000000020e-07
4.263989268211829220e+00 1.084432799999999917e-06 9.637336643020696486e-07 2.259545000000000001e-07
4.662354447277915703e+00 6.527453399999999490e-07 6.224972653985092029e-07 1.942013500000000054e-07
5.060962216674460556e+00 4.237524399999999764e-07 4.237524400000000294e-07 1.920885899999999888e-07
5.464312701515980919e+00 2.442617600000000232e-07 3.044996113825554148e-07 1.988862200000000023e-07
