# #x	#y	#y_fit	#error
1.793840902180771912e-01 8.530084168031087932e-01 9.955480139852740384e-01 1.464501900000000087e-03
2.367252594476897953e-01 9.079306174350811887e-01 9.926873849981993070e-01 1.168045500000000105e-03
2.921458168522443888e-01 9.474115773985223310e-01 9.841836693058629848e-01 1.039491499999999980e-03
3.482805432301176451e-01 1.208780779013008816e-01 1.621254097966135788e-01 9.462958899999999595e-05
4.052126320531627690e-01 4.448632094500919870e-02 5.182718442092267008e-02 5.176677299999999992e-05
4.603905074540116105e-01 2.442872859665153745e-02 2.442872491989567241e-02 3.514664299999999749e-05
6.626585434687698450e-01 2.856685432840379724e-03 4.040322846989040373e-03 3.717028600000000142e-06
8.625483462674990998e-01 1.296754260130458195e-03 1.253751729916513730e-03 2.135476500000000018e-06
1.062167735905238386e+00 5.216403725545225778e-04 5.159588722580924240e-04 1.395959399999999955e-06
1.261509825429290022e+00 2.677737030603582623e-04 2.524675506210255884e-04 2.586363799999999894e-07
1.461898834895760668e+00 1.372325655242257185e-04 1.391159202879789730e-04 1.948551199999999921e-07
1.661955070474819607e+00 9.585997012224056096e-05 8.443036105198156889e-05 1.524298899999999938e-07
1.861934988075566899e+00 4.764347266958849850e-05 5.550994492176053398e-05 6.472545600000000529e-08
2.090918258448954514e+00 4.163570665434518451e-05 3.739090863099759721e-05 5.719621699999999781e-08
2.318313862772034550e+00 3.052579318999415134e-05 2.732678183885087870e-05 4.300950300000000303e-08
2.547068408393605932e+00 2.435939965768592813e-05 2.134659829902188624e-05 4.891063499999999981e-08
2.775774367194150383e+00 1.743589891653640658e-05 1.766515835343858846e-05 6.519897200000000467e-08
3.004265466821520292e+00 1.705686527663769801e-05 1.531869930779285047e-05 7.865036100000000540e-08
3.233110081408486547e+00 1.356515560563320959e-05 1.377535166173267688e-05 9.924000600000000249e-08
3.461386207271123894e+00 1.322129740687811065e-05 1.273941163284785479e-05 1.085296899999999936e-07
3.863835200317784935e+00 1.178611179607542376e-05 1.163287726027314539e-05 1.683737900000000020e-07
4.263989268211829220e+00 1.086187310938285455e-05 1.103633646166175182e-05 2.259545000000000001e-07
4.662354447277915703e+00 1.067325714070453988e-05 1.070080586117421104e-05 1.942013500000000054e-07
5.060962216674460556e+00 1.050538232125075898e-05 1.050538232125075051e-05 1.920885899999999888e-07
5.464312701515980919e+00 1.023868972530020013e-05 1.038812147098317387e-05 1.988862200000000023e-07
