gamma	delta	ys	ds1hg	os2hg	zs	alphax	gamma	hu36energy	xs	thetah	ds2hg	ss1hg	current	mon2	dioderefl	mon4	gainfemtodioderefl	integration_time	sensors_rel_timestamps	sensorsTimestamps	i15-c-cx1/ex/v2_grp_gamma.rot/rot	
-0.249865429561	-0.00016364	0.0	2.0	1.9985	-69.9999496025	0.0	-0.249865429561	6.98273741544	1.5262144575	-0.917025423729	2.0	2.0	450.298502389	30.1354033813	-0.00107909545898	2.0	100000.0	0.1	3.414552	1512551044.11	-0.249771185504	
-0.239568777244	-0.00016364	0.0	2.0	1.9985	-69.9999496025	0.0	-0.239568777244	6.98269598254	1.5262144575	-0.917025423729	2.0	2.0	450.279057492	30.118532959	-0.00104844970703	2.0	100000.0	0.1	5.700443	1512551046.4	-0.239771185504	
-0.22965348242	-0.00016364	0.0	2.0	1.9985	-69.9999496025	0.0	-0.22965348242	6.98273741544	1.5262144575	-0.917025423729	2.0	2.0	450.268802326	30.142461853	-0.00107235717773	2.0	100000.0	0.1	7.752319	1512551048.45	-0.229771185504	
-0.219585644599	-0.00016364	0.0	2.0	1.9985	-69.9999496025	0.0	-0.219585644599	6.98269598254	1.5262144575	-0.917025423729	2.0	2.0	450.246363413	30.1421528931	-0.0010473449707	2.0	100000.0	0.1	9.752896	1512551050.45	-0.219771185504	
-0.209594078276	-0.00016364	0.0	2.0	1.9985	-69.9999496025	0.0	-0.209594078276	6.98273741544	1.5262144575	-0.917025423729	2.0	2.0	450.226721633	30.1393134155	-0.00106065673828	2.0	100000.0	0.1	11.909396	1512551052.61	-0.209771185504	
-0.199526240455	-0.00016364	0.0	2.0	1.9985	-69.9999496025	0.0	-0.199526240455	6.98273741544	1.5262144575	-0.917025423729	2.0	2.0	450.215518754	30.1258272095	-0.00106840820312	2.0	100000.0	0.1	13.857603	1512551054.56	-0.199771185504	
-0.189534674132	-0.00016364	0.0	2.0	1.9985	-69.9999496025	0.0	-0.189534674132	6.98269598254	1.5262144575	-0.917025423729	2.0	2.0	450.175110344	30.1403842163	-0.00109686889648	2.0	100000.0	0.1	15.855827	1512551056.56	-0.189771185504	
-0.17954310781	-0.00016364	0.0	2.0	1.9985	-69.9999496025	0.0	-0.17954310781	6.98273741544	1.5262144575	-0.917025423729	2.0	2.0	450.166437961	30.1406109009	-0.0011114440918	2.0	100000.0	0.1	17.905524	1512551058.61	-0.179771185504	
-0.169551541487	-0.00016364	0.0	2.0	1.9985	-69.9999496025	0.0	-0.169551541487	6.98273741544	1.5262144575	-0.917025423729	2.0	2.0	450.136428885	30.1336872559	-0.00111477661133	2.0	100000.0	0.1	20.042243	1512551060.74	-0.169771185504	
-0.159483703667	-0.00016364	0.0	2.0	1.9985	-69.9999496025	0.0	-0.159483703667	6.98269598254	1.5262144575	-0.917025423729	2.0	2.0	450.125501398	30.1307664795	-0.00109710693359	2.0	100000.0	0.1	21.991206	1512551062.69	-0.159771185504	
-0.149568408843	-0.00016364	0.0	2.0	1.9985	-69.9999496025	0.0	-0.149568408843	6.98273741544	1.5262144575	-0.917025423729	2.0	2.0	450.105586089	30.1398234863	-0.0010909362793	2.0	100000.0	0.1	23.989842	1512551064.69	-0.149771185504	
-0.13957684252	-0.00016364	0.0	2.0	1.9985	-69.9999496025	0.0	-0.13957684252	6.98269598254	1.5262144575	-0.917025423729	2.0	2.0	450.084134378	30.131335022	-0.0010267578125	2.0	100000.0	0.1	26.073586	1512551066.77	-0.139771185504	
